출발명,도착명,이동횟수,출발위도,출발경도,도착위도,도착경도
마곡나루역 5번출구 뒤편,LG사이언스파크 E14동,23,37.56520081,126.82731628,37.56349564,126.83583069
테라타워2,문정법조단지12,22,37.48834991,127.12078094,37.4862709,127.11476898
장한평역 8번 출구 앞,중랑물재생센터(서울새활용플라자),19,37.56137085,127.06365967,37.55830383,127.05805969
신도림역 1번 출구 앞,리버뷰신안인스빌1차 후문,18,37.50971985,126.89009857,37.51374817,126.88851166
해원리바파크 육교 밑,철도교통관제센터 정문 앞,17,37.49528503,126.87216187,37.49708176,126.87788391
양평동6차현대아파트 앞,당산역11번출구,16,37.53210068,126.8944397,37.53363037,126.90145874
목동역5번출구,"양천구청, 보건소 사잇길",15,37.52571487,126.86486816,37.51747513,126.86632538
국회의사당역 3번출구 옆,국민일보 앞,15,37.5280571,126.91870117,37.52881622,126.92453003
답십리파크자이아파트 앞,답십리역 4번출구,14,37.5676918,127.05789185,37.56600189,127.05431366
하늘채코오롱아파트 건너편,홍대입구역 2번출구 앞,14,37.56538773,126.91932678,37.5574379,126.9238205
시청역 2번출구,광화문 S타워 앞,14,37.56557846,126.97702026,37.56996918,126.97393799
신정보도육교 아래,오목교역 6번 출구,14,37.51759338,126.8765564,37.5236702,126.87567139
강서구청사거리(SH타워),가양역 7번출구,13,37.55673599,126.85307312,37.56019592,126.8549118
자양나들목,자양(뚝섬한강공원)역 1번출구 앞,13,37.5297699,127.07485962,37.53186035,127.06719208
오목교역 7번출구 앞,서울출입국관리사무소 앞,13,37.52362823,126.87524414,37.51897049,126.8699646
마곡13단지 정문 앞,마곡역 7번출구,13,37.5586319,126.81991577,37.55974579,126.8243866
마곡나루역 5번출구 뒤편,마곡문화공원,13,37.56520081,126.82731628,37.56121063,126.83034515
마곡나루역 5번출구 뒤편,코오롱One&Only타워,13,37.56520081,126.82731628,37.56412888,126.83431244
건대병원후문,건국대학교 (행정관),12,37.53956604,127.0724411,37.54277802,127.07537079
구로디지털단지역 앞,태평양물산,12,37.48493958,126.90132141,37.48485947,126.89518738
