출발명,도착명,이동횟수,출발위도,출발경도,도착위도,도착경도
LG사이언스파크 E14동,마곡나루역 3번 출구,24,37.56349564,126.83583069,37.56580353,126.82807922
마곡역 7번출구,마곡13단지 정문 앞,18,37.55974579,126.8243866,37.5586319,126.81991577
LG유플러스 마곡사옥,마곡나루역 3번 출구,16,37.56133652,126.83390045,37.56580353,126.82807922
문정법조단지12,테라타워2,13,37.4862709,127.11476898,37.48834991,127.12078094
마곡나루역 3번 출구,강서구립등빛도서관,11,37.56580353,126.82807922,37.56274414,126.84267426
제2구민체육센타 앞,당산삼성2차아파트,11,37.52638626,126.90275574,37.52762222,126.89863586
철도교통관제센터 정문 앞,해원리바파크 육교 밑,11,37.49708176,126.87788391,37.49528503,126.87216187
답십리역 4번출구,답십리파크자이아파트 앞,10,37.56600189,127.05431366,37.5676918,127.05789185
문정법조단지12,가락시장역 사거리,10,37.4862709,127.11476898,37.49209976,127.11775208
양천구청역 2번출구 옆,양천아파트 입구,9,37.51228714,126.86528015,37.50790405,126.86264801
잠실역 6번출구,잠실주공5단지1,8,37.51408768,127.09902954,37.51633453,127.09380341
마곡나루역 2번 출구,마곡역 교차로(2번출구),8,37.56692505,126.82743835,37.5605011,126.82665253
중랑물재생센터(서울새활용플라자),장한평역 8번 출구 앞,8,37.55830383,127.05805969,37.56137085,127.06365967
당산역11번출구,새말소공원,8,37.53363037,126.90145874,37.5315094,126.89782715
LG전자 별관동(호서대 벤처타워 맞은편),가산디지털단지역 9번출구 앞,8,37.47143555,126.88537598,37.48055267,126.88175964
LG사이언스파크 E14동,마곡나루역 2번 출구,8,37.56349564,126.83583069,37.56692505,126.82743835
영등포역 1번출구,영등포 푸르지오 아파트 A,8,37.5148468,126.9077301,37.51202393,126.90105438
길성그랑프리텔아파트,신방화사거리,7,37.5692482,126.81650543,37.57256317,126.81642151
군자역 7번출구뒤,세종사이버대학교,7,37.55686188,127.07913971,37.55341721,127.07319641
오목교역 6번 출구,신정보도육교 아래,7,37.5236702,126.87567139,37.51759338,126.8765564
