대여소번호,대여건수,반납건수,총이용건수,자치구,대여소명,위도,경도,순유출,지역명
102,2878.3333333333335,3027.6666666666665,5906.0,마포구,102. 망원역 1번출구 앞,37.53701,127.082245,-149.33333333333303,마포구 망원역 1번출구 앞
103,2180.8333333333335,2443.0,4623.833333333333,마포구,103. 망원역 2번출구 앞,37.549061,127.057793,-262.1666666666665,마포구 망원역 2번출구 앞
104,1301.75,1127.1666666666667,2428.9166666666665,마포구,104. 합정역 1번출구 앞,37.548203,127.057114,174.58333333333326,마포구 합정역 1번출구 앞
105,742.4166666666666,607.0,1349.4166666666667,마포구,105. 합정역 5번출구 앞,37.54517,127.057571,135.41666666666663,마포구 합정역 5번출구 앞
106,1947.6666666666667,1901.5833333333333,3849.25,마포구,106. 합정역 7번출구 앞,37.539654,127.052589,46.083333333333485,마포구 합정역 7번출구 앞
107,1274.0,1444.8333333333333,2718.8333333333335,마포구,107. 수협 연남동지점,37.541222,127.0438,-170.83333333333326,마포구 수협 연남동지점
108,1224.4166666666667,1272.6666666666667,2497.0833333333335,마포구,108. 서교동 사거리,37.544582,127.044609,-48.25,마포구 서교동 사거리
111,1400.3333333333333,1390.5833333333333,2790.9166666666665,마포구,111. 상수역 2번출구 앞,37.546307,127.049805,9.75,마포구 상수역 2번출구 앞
113,4780.833333333333,5916.083333333333,10696.916666666666,마포구,113. 홍대입구역 2번출구 앞,37.530235,127.08683,-1135.25,마포구 홍대입구역 2번출구 앞
114,1465.6666666666667,1512.8333333333333,2978.5,마포구,114. 홍대입구역 8번출구 앞,37.548405,127.069366,-47.166666666666515,마포구 홍대입구역 8번출구 앞
115,807.0833333333334,598.5833333333334,1405.6666666666667,서대문구,115. 마스타 빌딩 앞,37.544006,127.062149,208.5,서대문구 마스타 빌딩 앞
117,2484.6666666666665,2490.6666666666665,4975.333333333333,서대문구,117. 홍은사거리,37.575794,126.971451,-6.0,서대문구 홍은사거리
118,579.6666666666666,578.1666666666666,1157.8333333333333,마포구,118. 광흥창역 2번출구 앞,37.575615,126.972893,1.5,마포구 광흥창역 2번출구 앞
119,1435.1666666666667,1481.9166666666667,2917.0833333333335,마포구,119. 서강나루 공원,37.57177,126.974663,-46.75,마포구 서강나루 공원
120,453.6666666666667,481.1666666666667,934.8333333333334,마포구,120. 신수동 사거리,37.572113,126.977577,-27.5,마포구 신수동 사거리
121,574.6666666666666,579.0833333333334,1153.75,마포구,121. 마포소방서 앞,37.572559,126.978333,-4.4166666666667425,마포구 마포소방서 앞
122,784.75,789.5,1574.25,마포구,122. 신성기사식당 앞,37.570808,126.976433,-4.75,마포구 신성기사식당 앞
123,1522.5833333333333,1513.75,3036.3333333333335,서대문구,123. 문화촌 공원,37.57,126.9711,8.833333333333258,서대문구 문화촌 공원
124,1019.5833333333334,906.9166666666666,1926.5,마포구,124. 서강대 정문 건너편,37.569969,126.973938,112.66666666666674,마포구 서강대 정문 건너편
126,689.0833333333334,684.1666666666666,1373.25,마포구,126. 서강대 후문 옆,37.568878,126.97747,4.9166666666667425,마포구 서강대 후문 옆
127,208.25,152.75,361.0,마포구,127. 현대벤처빌 앞,37.689762,127.044891,55.5,마포구 현대벤처빌 앞
128,836.75,862.3333333333334,1699.0833333333333,서대문구,128. 신촌역(2호선) 1번출구 옆,37.564674,126.976738,-25.58333333333337,서대문구 신촌역(2호선) 1번출구 옆
129,561.3333333333334,566.0833333333334,1127.4166666666667,마포구,129. 신촌역(2호선) 6번출구 옆,37.556961,126.971771,-4.75,마포구 신촌역(2호선) 6번출구 옆
130,1651.3333333333333,1683.9166666666667,3335.25,마포구,130. 신촌역(2호선) 7번출구 앞,37.579708,126.980858,-32.583333333333485,마포구 신촌역(2호선) 7번출구 앞
131,1704.5,1904.25,3608.75,서대문구,131. 증산2교,37.57597,126.983063,-199.75,서대문구 증산2교
134,531.25,555.0833333333334,1086.3333333333333,서대문구,134. 연세로 명물길,37.568634,126.982315,-23.83333333333337,서대문구 연세로 명물길
137,376.75,249.08333333333334,625.8333333333334,서대문구,137. 신촌기차역입구 교차로,37.565464,126.984138,127.66666666666666,서대문구 신촌기차역입구 교차로
138,460.25,451.6666666666667,911.9166666666666,서대문구,138. 신촌동 제1공영주차장 앞,37.564476,126.986969,8.583333333333314,서대문구 신촌동 제1공영주차장 앞
139,276.8333333333333,216.66666666666666,493.5,서대문구,139. 연세대 정문 건너편,37.561794,126.981583,60.16666666666666,서대문구 연세대 정문 건너편
140,560.1666666666666,575.5,1135.6666666666667,서대문구,140. 이화여대 후문,37.561344,126.980507,-15.333333333333371,서대문구 이화여대 후문
